bottomc TotalCurrent(n2_des) X,bottomc TotalCurrent(n2_des) Y,bottomc TotalCurrent(n328_des) X,bottomc TotalCurrent(n328_des) Y,bottomc TotalCurrent(n340_des) X,bottomc TotalCurrent(n340_des) Y,bottomc TotalCurrent(n352_des) X,bottomc TotalCurrent(n352_des) Y,bottomc TotalCurrent(n364_des) X,bottomc TotalCurrent(n364_des) Y
0.71770434,3.1891486e-09,0.71770434,3.1746252e-09,0.71770434,3.1790699e-09,0.71770434,3.1779597e-09,0.71770434,3.1834104e-09
0.86770434,3.4998471e-09,0.86770434,3.4918853e-09,0.86770434,3.5002322e-09,0.86770434,3.499285e-09,0.86770434,3.5049715e-09
1.0177043,3.7582564e-09,1.0177043,3.754938e-09,1.0177043,3.7659602e-09,1.0177043,3.7650718e-09,1.0177043,3.7708933e-09
1.1677043,3.9749976e-09,1.1677043,3.9741754e-09,1.1677043,3.9869028e-09,1.1677043,3.985412e-09,1.1677043,3.9918848e-09
1.3177043,4.1475476e-09,1.3177043,4.146962e-09,1.3177043,4.1627481e-09,1.3177043,4.1545076e-09,1.3177043,4.1680275e-09
1.4677043,4.273942e-09,1.4677043,4.2726642e-09,1.4677043,4.3003417e-09,1.4677043,4.2778279e-09,1.4677043,4.3039118e-09
1.5,4.2968656e-09,1.5,4.2951499e-09,1.5,4.3258263e-09,1.4757783,4.283582e-09,1.5,4.3294371e-09
-,-,-,-,-,-,1.4870817,4.2915256e-09,-,-
-,-,-,-,-,-,1.5,4.3004517e-09,-,-

